Jun 30 (Fr) 12:01 | === Logging started
Jun 30 (Fr) 12:57 |     Joel Corry & Tom Grennan: Lionheart
Jun 30 (Fr) 12:58 | === Logging stopped
Jun 30 (Fr) 12:58 | === Logging started
Jun 30 (Fr) 12:58 | >>> Station: Bayern 3
Jun 30 (Fr) 12:58 |     Joel Corry & Tom Grennan: Lionheart
Jun 30 (Fr) 12:59 |     Update
Jun 30 (Fr) 12:59 |     Joel Corry & Tom Grennan: Lionheart
Jun 30 (Fr) 13:01 |     Alle Hits von heute - am Nachmittag
Jun 30 (Fr) 13:01 |     Mit Simone Faust
Jun 30 (Fr) 13:02 | === Logging stopped
Jun 30 (Fr) 13:02 | === Logging started
Jun 30 (Fr) 13:02 | >>> Station: Bayern 3
Jun 30 (Fr) 13:02 |     Studio-Hotline: 0800 / 800 3 800 (kostenfrei)
Jun 30 (Fr) 13:02 |     Besucht uns auf Facebook und Instagram
Jun 30 (Fr) 13:03 |     Alle Hits von heute - am Nachmittag
Jun 30 (Fr) 13:03 |     Mit Simone Faust
Jun 30 (Fr) 13:03 |     Internet: www.bayern3.de
Jun 30 (Fr) 13:03 |     BAYERN 3 - Bayerns Hitradio Nummer 1!
Jun 30 (Fr) 13:04 |     Alle Hits von heute - am Nachmittag
Jun 30 (Fr) 13:04 |     Mit Simone Faust
Jun 30 (Fr) 13:05 |     Studio-Hotline: 0800 / 800 3 800 (kostenfrei)
Jun 30 (Fr) 13:05 |     Besucht uns auf Facebook und Instagram
Jun 30 (Fr) 13:05 |     Alle Hits von heute - am Nachmittag
Jun 30 (Fr) 13:05 |     Bloodhound Gang: The bad touch
Jun 30 (Fr) 13:08 | === Logging stopped
Jun 30 (Fr) 13:08 | === Logging started
Jun 30 (Fr) 13:12 | === Logging stopped
Jun 30 (Fr) 13:12 | === Logging started
Jun 30 (Fr) 13:15 | >>> Station: Bayern 3
Jun 30 (Fr) 13:15 |     Mit Simone Faust
Jun 30 (Fr) 13:15 |     Studio-Hotline: 0800 / 800 3 800 (kostenfrei)
Jun 30 (Fr) 13:15 |     Besucht uns auf Facebook und Instagram
Jun 30 (Fr) 13:16 |     Alle Hits von heute - am Nachmittag
Jun 30 (Fr) 13:16 |     Harry Styles: As it was
Jun 30 (Fr) 13:17 | >>> Station: Παλμός Κεφαλλονιάς 98.3
Jun 30 (Fr) 13:17 | === Logging stopped
Jun 30 (Fr) 13:17 | === Logging stopped
Jun 30 (Fr) 13:18 | === Logging started
Jun 30 (Fr) 13:18 | >>> Station: Bayern 3
Jun 30 (Fr) 13:18 |     Harry Styles: As it was
Jun 30 (Fr) 13:18 |     Alle Hits von heute - am Nachmittag
Jun 30 (Fr) 13:18 |     Mit Simone Faust
Jun 30 (Fr) 13:19 |     Harry Styles: As it was
Jun 30 (Fr) 13:19 |     Udo Lindenberg & Apache 207: Komet
Jun 30 (Fr) 13:20 |     Alle Hits von heute - am Nachmittag
Jun 30 (Fr) 13:21 | >>> Station: Sfera 102.2
Jun 30 (Fr) 13:21 |     Σ'αγαπαω
Jun 30 (Fr) 13:21 | >>> Station: Bayern 3
Jun 30 (Fr) 13:21 |     Mit Simone Faust
Jun 30 (Fr) 13:21 |     Udo Lindenberg & Apache 207: Komet
Jun 30 (Fr) 13:22 |     Sean Paul: She Doesn't Mind
Jun 30 (Fr) 13:22 | >>> Station: Παλμός Κεφαλλονιάς 98.3
Jun 30 (Fr) 13:23 | >>> Station: Bayern 3
Jun 30 (Fr) 13:23 |     Alle Hits von heute - am Nachmittag
Jun 30 (Fr) 13:24 |     Mit Simone Faust
Jun 30 (Fr) 13:24 | >>> Station: City93 Κώς
Jun 30 (Fr) 13:25 | >>> Station: Bayern 3
Jun 30 (Fr) 13:25 |     Christina Aguilera: Beautiful
Jun 30 (Fr) 13:27 |     Alle Hits von heute - am Nachmittag
Jun 30 (Fr) 13:28 |     Mit Simone Faust
Jun 30 (Fr) 13:28 |     Christina Aguilera: Beautiful
Jun 30 (Fr) 13:29 |     Studio-Hotline: 0800 / 800 3 800 (kostenfrei)
Jun 30 (Fr) 13:29 |     Besucht uns auf Facebook und Instagram
Jun 30 (Fr) 13:30 | >>> Station: Παλμός Κεφαλλονιάς 98.3
Jun 30 (Fr) 13:32 | === Logging stopped
Jun 30 (Fr) 13:32 | === Logging stopped
Jun 30 (Fr) 13:32 | === Logging stopped
Jun 30 (Fr) 13:33 | === Logging started
Jun 30 (Fr) 13:33 | >>> Station: Bayern 3
Jun 30 (Fr) 13:33 |     Mit Simone Faust
Jun 30 (Fr) 13:33 | >>> Station: City93 Κώς
Jun 30 (Fr) 13:34 | === Logging stopped
Jun 30 (Fr) 13:34 | === Logging stopped
Jun 30 (Fr) 13:35 | === Logging started
Jun 30 (Fr) 13:35 | >>> Station: Bayern 3
Jun 30 (Fr) 13:35 |     Studio-Hotline: 0800 / 800 3 800 (kostenfrei)
Jun 30 (Fr) 13:35 |     Besucht uns auf Facebook und Instagram
Jun 30 (Fr) 13:35 |     Ed Sheeran: Bad Habits
Jun 30 (Fr) 13:36 | >>> Station: Παλμός Κεφαλλονιάς 98.3
Jun 30 (Fr) 13:37 | === Logging stopped
Jun 30 (Fr) 13:37 | === Logging stopped
Jun 30 (Fr) 13:38 | === Logging started
Jun 30 (Fr) 13:38 | >>> Station: Bayern 3
Jun 30 (Fr) 13:38 |     Ed Sheeran: Bad Habits
Jun 30 (Fr) 13:39 |     Leony: Somewhere in Between
Jun 30 (Fr) 13:39 | >>> Station: Παλμός Κεφαλλονιάς 98.3
Jun 30 (Fr) 13:44 | === Logging stopped
Jun 30 (Fr) 13:45 | === Logging started
Jun 30 (Fr) 13:47 | >>> Station: Bayern 3
Jun 30 (Fr) 13:47 |     Montez feat. SDP: Fieber
Jun 30 (Fr) 13:47 | === Logging stopped
Jun 30 (Fr) 13:47 | === Logging stopped
Jun 30 (Fr) 13:47 | === Logging stopped
Jun 30 (Fr) 13:48 | === Logging started
Jun 30 (Fr) 13:48 | >>> Station: Bayern 3
Jun 30 (Fr) 13:48 |     Montez feat. SDP: Fieber
Jun 30 (Fr) 13:48 |     Alle Hits von heute - am Nachmittag
Jun 30 (Fr) 13:48 |     Mit Simone Faust
Jun 30 (Fr) 13:49 |     Montez feat. SDP: Fieber
Jun 30 (Fr) 13:50 |     Jay-Z & Alicia Keys: Empire State of Mind
Jun 30 (Fr) 13:52 |     Alle Hits von heute - am Nachmittag
Jun 30 (Fr) 13:52 | === Logging stopped
Jun 30 (Fr) 13:52 | === Logging stopped
Jun 30 (Fr) 13:53 | === Logging started
Jun 30 (Fr) 13:53 | >>> Station: Bayern 3
Jun 30 (Fr) 13:53 |     Jay-Z & Alicia Keys: Empire State of Mind
Jun 30 (Fr) 13:54 |     Studio-Hotline: 0800 / 800 3 800 (kostenfrei)
Jun 30 (Fr) 13:55 |     Besucht uns auf Facebook und Instagram
Jun 30 (Fr) 13:55 |     Alle Hits von heute - am Nachmittag
Jun 30 (Fr) 13:56 |     Internet: www.bayern3.de
Jun 30 (Fr) 13:56 |     BAYERN 3 - Bayerns Hitradio Nummer 1!
Jun 30 (Fr) 13:56 |     Alle Hits von heute - am Nachmittag
Jun 30 (Fr) 13:57 |     Mit Simone Faust
Jun 30 (Fr) 13:57 |     Studio-Hotline: 0800 / 800 3 800 (kostenfrei)
